year,age,sex,marital,partyid,hompop,babies,preteen,teens,adults,unrelat
1972,26.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,31.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,28.0,Female,Never married,Other,3.0,0.0,0.0,0.0,3.0,0.0
1972,26.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,20.0,Female,Never married,Democrat,2.0,0.0,0.0,0.0,2.0,1.0
1972,25.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,57.0,Female,Married,Democrat,3.0,0.0,0.0,0.0,3.0,0.0
1972,58.0,Female,Married,Other,3.0,0.0,0.0,0.0,3.0,0.0
1972,54.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,35.0,Female,Married,Democrat,4.0,0.0,2.0,0.0,2.0,0.0
1972,40.0,Male,Married,Republican,5.0,0.0,1.0,2.0,2.0,0.0
1972,57.0,Male,Married,Republican,3.0,0.0,0.0,0.0,3.0,0.0
1972,64.0,Female,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,34.0,Male,Married,Other,4.0,1.0,1.0,0.0,2.0,0.0
1972,25.0,Female,Married,Other,4.0,2.0,0.0,0.0,2.0,0.0
1972,28.0,Male,Married,Republican,4.0,1.0,0.0,0.0,3.0,0.0
1972,41.0,Male,Married,Democrat,5.0,0.0,2.0,1.0,2.0,0.0
1972,36.0,Female,Married,Other,6.0,1.0,2.0,1.0,2.0,0.0
1972,31.0,Male,Married,Democrat,3.0,1.0,0.0,0.0,2.0,0.0
1972,45.0,Male,Married,Democrat,4.0,0.0,1.0,1.0,2.0,0.0
1972,74.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,26.0,Male,Never married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,34.0,Female,Married,Democrat,5.0,2.0,1.0,0.0,2.0,0.0
1972,52.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,24.0,Male,Divorced,Democrat,4.0,0.0,0.0,0.0,4.0,2.0
1972,36.0,Female,Separated,Other,3.0,0.0,2.0,0.0,1.0,0.0
1972,25.0,Male,Married,Democrat,3.0,1.0,0.0,0.0,2.0,0.0
1972,46.0,Female,Separated,Other,6.0,1.0,1.0,1.0,3.0,0.0
1972,54.0,Female,Married,Republican,6.0,0.0,0.0,2.0,4.0,0.0
1972,27.0,Female,Separated,Democrat,4.0,1.0,2.0,0.0,1.0,0.0
1972,20.0,Female,Never married,Other,3.0,2.0,0.0,0.0,1.0,0.0
1972,53.0,Male,Married,Democrat,3.0,0.0,0.0,0.0,3.0,0.0
1972,47.0,Male,Married,Democrat,11.0,1.0,2.0,2.0,6.0,0.0
1972,70.0,Male,Widowed,Democrat,3.0,0.0,0.0,0.0,3.0,0.0
1972,69.0,Female,Married,Democrat,4.0,0.0,0.0,0.0,4.0,0.0
1972,49.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,29.0,Female,Married,Republican,3.0,1.0,0.0,0.0,2.0,0.0
1972,48.0,Female,Married,Other,4.0,0.0,0.0,1.0,3.0,0.0
1972,67.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,22.0,Male,Divorced,Democrat,3.0,0.0,0.0,0.0,3.0,0.0
1972,75.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,38.0,Male,Married,Other,4.0,0.0,0.0,2.0,2.0,0.0
1972,46.0,Male,Married,Other,4.0,0.0,0.0,1.0,3.0,0.0
1972,63.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,34.0,Female,Married,Democrat,3.0,1.0,0.0,0.0,2.0,0.0
1972,57.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,46.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,73.0,Female,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,73.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,53.0,Male,Married,Republican,3.0,0.0,0.0,1.0,2.0,0.0
1972,27.0,Male,Married,Other,3.0,1.0,0.0,0.0,2.0,0.0
1972,41.0,Male,Married,Other,6.0,1.0,2.0,1.0,2.0,0.0
1972,38.0,Male,Married,Democrat,4.0,1.0,1.0,0.0,2.0,0.0
1972,59.0,Female,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,42.0,Male,Married,Other,3.0,0.0,0.0,1.0,2.0,0.0
1972,48.0,Male,Married,Other,4.0,0.0,1.0,0.0,3.0,0.0
1972,59.0,Female,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,39.0,Female,Married,Democrat,5.0,0.0,1.0,2.0,2.0,0.0
1972,49.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,33.0,Female,Married,Democrat,7.0,1.0,3.0,1.0,2.0,0.0
1972,30.0,Female,Married,Other,3.0,1.0,0.0,0.0,2.0,0.0
1972,25.0,Male,Married,Other,5.0,3.0,0.0,0.0,2.0,0.0
1972,36.0,Female,Divorced,Other,4.0,0.0,1.0,1.0,2.0,0.0
1972,30.0,Male,Married,Other,5.0,2.0,1.0,0.0,2.0,0.0
1972,28.0,Male,Married,Other,5.0,3.0,0.0,0.0,2.0,0.0
1972,52.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,44.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,38.0,Female,Separated,Other,3.0,0.0,2.0,0.0,1.0,0.0
1972,26.0,Male,Never married,Other,2.0,0.0,0.0,0.0,2.0,1.0
1972,28.0,Female,Married,Other,3.0,0.0,0.0,0.0,3.0,1.0
1972,81.0,Female,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,55.0,Female,Married,Other,3.0,0.0,0.0,1.0,2.0,0.0
1972,76.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,29.0,Male,Married,Other,3.0,1.0,0.0,0.0,2.0,0.0
1972,19.0,Male,Never married,Other,4.0,1.0,0.0,0.0,3.0,3.0
1972,76.0,Female,Never married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,26.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,39.0,Female,Divorced,Other,5.0,0.0,1.0,3.0,1.0,0.0
1972,19.0,Male,Never married,Other,2.0,0.0,0.0,0.0,2.0,1.0
1972,26.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,45.0,Female,Married,Democrat,5.0,0.0,0.0,2.0,3.0,0.0
1972,27.0,Female,Married,Other,6.0,4.0,0.0,0.0,2.0,0.0
1972,63.0,Female,Widowed,Democrat,5.0,1.0,1.0,0.0,3.0,0.0
1972,52.0,Male,Married,Democrat,5.0,0.0,2.0,0.0,3.0,0.0
1972,65.0,Male,Married,Democrat,9.0,2.0,4.0,0.0,3.0,0.0
1972,59.0,Male,Married,Democrat,5.0,0.0,0.0,0.0,5.0,0.0
1972,26.0,Male,Never married,Democrat,3.0,0.0,0.0,0.0,3.0,0.0
1972,41.0,Female,Married,Other,5.0,0.0,2.0,1.0,2.0,0.0
1972,56.0,Male,Married,Other,3.0,0.0,1.0,0.0,2.0,0.0
1972,62.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,29.0,Male,Married,Other,4.0,2.0,0.0,0.0,2.0,0.0
1972,25.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,41.0,Female,Married,Republican,5.0,0.0,3.0,0.0,2.0,0.0
1972,21.0,Female,Never married,Other,6.0,0.0,1.0,2.0,3.0,0.0
1972,49.0,Female,Divorced,Democrat,4.0,0.0,0.0,2.0,2.0,0.0
1972,38.0,Male,Married,Democrat,5.0,0.0,1.0,2.0,2.0,0.0
1972,50.0,Male,Married,Democrat,4.0,0.0,0.0,2.0,2.0,0.0
1972,43.0,Male,Married,Democrat,4.0,0.0,1.0,1.0,2.0,0.0
1972,32.0,Male,Married,Republican,3.0,0.0,1.0,0.0,2.0,0.0
1972,27.0,Female,Married,Other,5.0,2.0,1.0,0.0,2.0,0.0
1972,56.0,Male,Married,Other,3.0,0.0,0.0,0.0,3.0,0.0
1972,48.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,56.0,Male,Married,Democrat,5.0,0.0,1.0,1.0,3.0,0.0
1972,44.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,25.0,Female,Divorced,Democrat,4.0,0.0,3.0,0.0,1.0,0.0
1972,32.0,Male,Married,Democrat,4.0,0.0,2.0,0.0,2.0,0.0
1972,33.0,Female,Married,Republican,4.0,2.0,0.0,0.0,2.0,0.0
1972,48.0,Male,Married,Democrat,5.0,0.0,1.0,2.0,2.0,0.0
1972,45.0,Male,Married,Democrat,5.0,0.0,1.0,2.0,2.0,0.0
1972,45.0,Female,Widowed,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,72.0,Male,Married,Democrat,4.0,0.0,2.0,0.0,2.0,0.0
1972,45.0,Female,Separated,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,70.0,Female,Separated,Democrat,2.0,0.0,0.0,0.0,2.0,1.0
1972,31.0,Female,Married,Democrat,4.0,1.0,1.0,0.0,2.0,0.0
1972,20.0,Male,Never married,Republican,3.0,0.0,0.0,0.0,3.0,0.0
1972,22.0,Female,Separated,Other,2.0,0.0,1.0,0.0,1.0,0.0
1972,63.0,Male,Married,Democrat,3.0,0.0,1.0,0.0,2.0,0.0
1972,70.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,68.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,43.0,Female,Married,Republican,4.0,0.0,0.0,2.0,2.0,0.0
1972,53.0,Female,Married,Republican,3.0,0.0,0.0,1.0,2.0,0.0
1972,44.0,Female,Married,Republican,5.0,0.0,1.0,2.0,2.0,0.0
1972,37.0,Female,Married,Republican,5.0,0.0,1.0,2.0,2.0,0.0
1972,55.0,Male,Married,Republican,7.0,0.0,0.0,1.0,6.0,0.0
1972,52.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,64.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,64.0,Male,Never married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,27.0,Female,Never married,Other,3.0,0.0,0.0,0.0,3.0,2.0
1972,28.0,Male,Married,Other,4.0,1.0,1.0,0.0,2.0,0.0
1972,22.0,Male,Never married,Other,4.0,0.0,0.0,0.0,4.0,3.0
1972,61.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,22.0,Male,Never married,Other,3.0,0.0,0.0,0.0,3.0,2.0
1972,30.0,Female,Married,Other,6.0,0.0,4.0,0.0,2.0,0.0
1972,29.0,Female,Married,Democrat,5.0,2.0,1.0,0.0,2.0,0.0
1972,60.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,39.0,Female,Married,Other,4.0,0.0,1.0,1.0,2.0,0.0
1972,21.0,Female,Married,Democrat,4.0,2.0,0.0,0.0,2.0,0.0
1972,56.0,Male,Married,Democrat,4.0,0.0,0.0,0.0,4.0,0.0
1972,72.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,61.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,56.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,71.0,Female,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,48.0,Male,Married,Democrat,3.0,0.0,0.0,1.0,2.0,0.0
1972,43.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,70.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,34.0,Female,Married,Other,6.0,1.0,2.0,1.0,2.0,0.0
1972,19.0,Male,Never married,Democrat,5.0,0.0,1.0,0.0,4.0,0.0
1972,52.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,30.0,Male,Married,Democrat,5.0,1.0,2.0,0.0,2.0,0.0
1972,60.0,Male,Married,Other,3.0,0.0,0.0,0.0,3.0,0.0
1972,50.0,Male,Married,Democrat,3.0,0.0,0.0,1.0,2.0,0.0
1972,47.0,Female,Widowed,Democrat,3.0,0.0,0.0,0.0,3.0,0.0
1972,50.0,Female,Married,Republican,3.0,0.0,1.0,0.0,2.0,0.0
1972,68.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,72.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,52.0,Male,Married,Republican,4.0,0.0,2.0,0.0,2.0,0.0
1972,32.0,Female,Married,Other,8.0,1.0,2.0,2.0,3.0,1.0
1972,52.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,60.0,Female,Never married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,32.0,Male,Married,Republican,5.0,3.0,0.0,0.0,2.0,0.0
1972,58.0,Male,Married,Democrat,4.0,0.0,0.0,2.0,2.0,0.0
1972,36.0,Female,Married,Republican,7.0,0.0,5.0,0.0,2.0,0.0
1972,31.0,Female,Married,Democrat,3.0,0.0,1.0,0.0,2.0,0.0
1972,30.0,Male,Married,Democrat,3.0,1.0,0.0,0.0,2.0,0.0
1972,63.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,34.0,Male,Married,Other,4.0,1.0,1.0,0.0,2.0,0.0
1972,29.0,Female,Married,Republican,5.0,2.0,1.0,0.0,2.0,0.0
1972,36.0,Female,Married,Democrat,7.0,0.0,3.0,2.0,2.0,0.0
1972,39.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,73.0,Male,Married,Democrat,3.0,0.0,0.0,0.0,3.0,0.0
1972,38.0,Male,Married,Other,5.0,0.0,2.0,1.0,2.0,0.0
1972,55.0,Male,Married,Republican,4.0,0.0,0.0,0.0,4.0,0.0
1972,30.0,Male,Married,Other,6.0,3.0,1.0,0.0,2.0,0.0
1972,44.0,Female,Married,Democrat,6.0,0.0,2.0,1.0,3.0,0.0
1972,43.0,Female,Married,Other,5.0,0.0,0.0,3.0,2.0,0.0
1972,38.0,Male,Married,Democrat,7.0,0.0,3.0,2.0,2.0,0.0
1972,44.0,Female,Married,Democrat,6.0,0.0,1.0,2.0,3.0,0.0
1972,43.0,Male,Married,Republican,4.0,0.0,1.0,1.0,2.0,0.0
1972,43.0,Female,Married,Other,6.0,0.0,1.0,2.0,3.0,0.0
1972,27.0,Male,Married,Other,5.0,3.0,0.0,0.0,2.0,0.0
1972,58.0,Male,Married,Other,5.0,0.0,1.0,1.0,3.0,0.0
1972,45.0,Male,Married,Other,10.0,1.0,0.0,4.0,5.0,0.0
1972,31.0,Male,Married,Other,4.0,0.0,2.0,0.0,2.0,0.0
1972,23.0,Female,Married,Democrat,5.0,3.0,0.0,0.0,2.0,0.0
1972,35.0,Female,Separated,Democrat,2.0,0.0,0.0,1.0,1.0,0.0
1972,43.0,Female,Widowed,Democrat,4.0,0.0,1.0,2.0,1.0,0.0
1972,56.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,36.0,Female,Separated,Democrat,7.0,1.0,3.0,2.0,1.0,0.0
1972,47.0,Female,Married,Democrat,5.0,0.0,0.0,0.0,5.0,0.0
1972,29.0,Male,Married,Other,4.0,2.0,0.0,0.0,2.0,0.0
1972,60.0,Male,Married,Democrat,3.0,0.0,1.0,0.0,2.0,0.0
1972,37.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,20.0,Male,Married,Democrat,3.0,1.0,0.0,0.0,2.0,0.0
1972,55.0,Female,Married,Democrat,6.0,1.0,0.0,2.0,3.0,0.0
1972,71.0,Female,Widowed,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,30.0,Male,Married,Democrat,4.0,1.0,1.0,0.0,2.0,0.0
1972,59.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,42.0,Female,Separated,Republican,2.0,0.0,0.0,0.0,2.0,1.0
1972,55.0,Female,Separated,Republican,11.0,1.0,8.0,8.0,2.0,0.0
1972,24.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,30.0,Male,Separated,Democrat,2.0,0.0,0.0,0.0,2.0,1.0
1972,43.0,Female,Widowed,Republican,3.0,0.0,2.0,0.0,1.0,0.0
1972,45.0,Male,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,25.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,37.0,Female,Divorced,Other,2.0,0.0,1.0,0.0,1.0,0.0
1972,22.0,Male,Never married,Democrat,3.0,0.0,0.0,0.0,3.0,0.0
1972,27.0,Female,Never married,Other,5.0,1.0,0.0,0.0,4.0,0.0
1972,28.0,Female,Never married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,42.0,Male,Divorced,Democrat,2.0,0.0,0.0,0.0,2.0,1.0
1972,42.0,Female,Never married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,30.0,Male,Married,Democrat,5.0,3.0,0.0,0.0,2.0,0.0
1972,40.0,Female,Married,Other,4.0,0.0,0.0,1.0,3.0,0.0
1972,37.0,Male,Married,Other,4.0,0.0,2.0,0.0,2.0,0.0
1972,24.0,Female,Never married,Other,4.0,0.0,0.0,0.0,4.0,0.0
1972,46.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,53.0,Female,Married,Other,3.0,0.0,0.0,0.0,3.0,0.0
1972,64.0,Male,Married,Other,3.0,0.0,0.0,0.0,3.0,0.0
1972,20.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,60.0,Male,Married,Republican,4.0,0.0,0.0,2.0,2.0,0.0
1972,33.0,Male,Married,Republican,4.0,2.0,0.0,0.0,2.0,0.0
1972,70.0,Female,Never married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,60.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,26.0,Female,Married,Other,5.0,2.0,1.0,0.0,2.0,0.0
1972,74.0,Female,Widowed,Other,3.0,0.0,0.0,0.0,3.0,0.0
1972,33.0,Female,Married,Republican,5.0,0.0,2.0,1.0,2.0,0.0
1972,23.0,Female,Married,Democrat,5.0,3.0,0.0,0.0,2.0,0.0
1972,19.0,Male,Never married,Democrat,6.0,0.0,1.0,3.0,2.0,0.0
1972,59.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,70.0,Female,Married,Other,2.0,0.0,0.0,0.0,2.0,0.0
1972,52.0,Male,Married,Democrat,9.0,2.0,2.0,1.0,4.0,0.0
1972,49.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,49.0,Male,Married,Democrat,3.0,0.0,0.0,1.0,2.0,0.0
1972,46.0,Male,Married,Republican,3.0,0.0,1.0,0.0,2.0,0.0
1972,23.0,Male,Married,Other,4.0,1.0,0.0,0.0,3.0,0.0
1972,64.0,Male,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,33.0,Female,Married,Democrat,6.0,1.0,2.0,1.0,2.0,0.0
1972,69.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,72.0,Male,Married,Democrat,4.0,0.0,1.0,0.0,3.0,1.0
1972,59.0,Male,Married,Democrat,3.0,0.0,1.0,0.0,2.0,0.0
1972,69.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,58.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,53.0,Male,Divorced,Democrat,4.0,0.0,0.0,0.0,4.0,0.0
1972,58.0,Male,Married,Other,3.0,0.0,0.0,1.0,2.0,0.0
1972,32.0,Female,Married,Republican,4.0,2.0,0.0,0.0,2.0,0.0
1972,58.0,Female,Married,Democrat,2.0,0.0,0.0,0.0,2.0,0.0
1972,70.0,Female,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,69.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,36.0,Male,Married,Republican,6.0,1.0,2.0,1.0,2.0,0.0
1972,47.0,Male,Married,Other,8.0,1.0,2.0,3.0,2.0,0.0
1972,31.0,Male,Married,Democrat,6.0,3.0,1.0,0.0,2.0,0.0
1972,81.0,Female,Widowed,Democrat,4.0,0.0,0.0,0.0,4.0,0.0
1972,24.0,Male,Married,Other,4.0,2.0,0.0,0.0,2.0,0.0
1972,51.0,Female,Married,Republican,6.0,0.0,0.0,2.0,4.0,0.0
1972,30.0,Female,Married,Democrat,5.0,2.0,1.0,0.0,2.0,0.0
1972,69.0,Male,Never married,Other,4.0,0.0,0.0,0.0,4.0,3.0
1972,45.0,Male,Married,Democrat,8.0,1.0,2.0,2.0,3.0,0.0
1972,24.0,Male,Married,Republican,3.0,1.0,0.0,0.0,2.0,0.0
1972,66.0,Male,Married,Republican,2.0,0.0,0.0,0.0,2.0,0.0
1972,29.0,Female,Married,Republican,3.0,1.0,0.0,0.0,2.0,0.0
